,number_of_ACK,number_of_SYN,number_of_RST,number_of_PA,number_of_FA,number_of_SA,number_of_FPA,number_of_RA,ratio_syn_ack,ratio_ack_rst,ratio_syn_rst,number_sport_20percent,number_sport_35percent,number_sport_50percent,number_sport_75percent,number_dport_20percent,number_dport_35percent,number_dport_50percent,number_dport_75percent,number_src_20percent,number_src_35percent,number_src_50percent,number_src_75percent,number_dst_20percent,number_dst_35percent,number_dst_50percent,number_dst_75percent,average_IP_bytes,ratio_incom_to_outgo,number_uniq_ips,attack_aggregate
0,46,4,0,40,6,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,2,1,0,2,2,1,0,69.68,1.0,2,0.0
1,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,2,1,0,2,2,1,0,67.04,1.0,2,0.0
2,45,5,0,37,8,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,0,0,2,1,1,0,67.98,1.0408163265306123,3,0.0
3,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,0,0,68.4,0.9607843137254902,3,0.0
4,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
5,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.66,1.0,3,0.0
6,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
7,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.04,1.0,3,0.0
8,45,5,0,37,8,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,0,0,2,1,1,0,67.98,1.0408163265306123,3,0.0
9,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,0,0,68.4,0.9607843137254902,3,0.0
10,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
11,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.66,1.0,3,0.0
12,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
13,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.04,1.0,3,0.0
14,45,5,0,37,7,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.25,1.0,3,0.0
15,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
16,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
17,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
18,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
19,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
20,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
21,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
22,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
23,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
24,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
25,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
26,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
27,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
28,46,4,0,37,9,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
29,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
30,46,4,0,38,7,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.34,1.0,3,0.0
31,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
32,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.04,1.0,3,0.0
33,45,5,0,37,8,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,0,0,2,1,1,0,67.98,1.0408163265306123,3,0.0
34,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,0,0,68.4,0.9607843137254902,3,0.0
35,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
36,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.66,1.0,3,0.0
37,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
38,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.04,1.0,3,0.0
39,45,5,0,37,8,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,0,0,3,1,1,0,67.98,1.0408163265306123,3,0.0
40,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,0,0,68.4,0.9607843137254902,3,0.0
41,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
42,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.66,1.0,3,0.0
43,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
44,45,5,0,35,9,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,69.51,1.0,3,0.0
